order_id,order_date,ship_date,city,channel,customer_tier,quantity,unit_price,discount_pct,commission_paid,revenue
102257,8 Dec 2024,2024-12-16,Tabuk,phone,silver,20,107.57,,56.71,1890.34
103344,6 Oct 2024,2024-10-15,Riyadh ,store,silver,28,86.82,0.134,63.46,2115.48
100262,03/26/2024,2024-04-05,Abha,online,bronze,17,24.91,0.133,10.93,364.3
102417,2025-02-26,2025-03-03,Riyadh,online,silver,23,96.32,0.155,55.75,1858.17
103161,31 Aug 2024,2024-09-03,Tabuk,store,silver,34,100.36,,67.61,2253.77
101490,10/20/2024,2024-10-29,JEDDAH,online,bronze,28,15.79,0.09,12.36,411.91
103412,2025/02/19,2025-03-03,Riyadh ,online,bronze,4,120.58,0.188,11.43,380.87
104489,2024/08/11,2024-08-20,riyadh,online,bronze,19,20.64,,11.09,369.57
101225,2024/08/11,2024-08-20,Riyadh,store,silver,25,61.47,0.116,42.11,1403.83
100187,11/08/2024,2024-11-17,Jeddah,store,silver,21,43.28,,19.6,653.38
104703,11/09/2024,2024-11-16,Jeddah,store,bronze,5,16.58,0.167,2.09,69.69
101045,2024/11/13,2024-11-26,Riyadh,store,bronze,25,24.94,0.164,15.5,516.77
100568,14 Sep 2024,2024-09-19,Riyadh,online,gold,28,39.19,,23.63,787.63
104578,05/08/2024,2024-05-20,Riyadh,store,silver,22,12.93,0.108,7.58,252.57
100834,31 May 2025,2025-06-04,Dammam,online,gold,18,44.47,0.127,20.9,696.69
104663,3 Sep 2024,2024-09-17,Jeddah,online,gold,32,25.04,0.171,20.07,669.11
104601,05/08/2025,2025-05-12,DAMMAM,online,silver,6,15.67,0.182,2.28,75.97
103252,2024-02-10,2024-02-21, Jeddah,store,bronze,4,103.25,0.179,10.22,340.78
103858,2024-08-27,2024-09-02,Jeddah,phone,silver,32,98.06,,78.24,2607.85
104297,10/18/2024,2024-10-21,Jeddah,online,bronze,29,23.38,0.365,12.91,430.38
104650,12 Mar 2025,2025-03-18,Jeddah,store,bronze,30,41.91,0.23,29.79,993.04
102590,2024-09-27,2024-10-05,Jeddah,online,silver,24,97.08,0.06,63.55,2118.39
103814,2025-04-29,2025-05-05,Riyadh,store,silver,4,23.0,0.286,2.01,66.84
101441,9 Nov 2024,2024-11-21,Riyadh,store,bronze,33,19.87,0.178,16.18,539.49
102105,09/17/2024,2024-09-18,Dammam,online,bronze,17,238.75,,86.61,2887.16
100155,2024-02-15,2024-02-28,Riyadh,online,bronze,23,72.75,0.116,44.53,1484.39
104241,2025-01-02,2025-01-12,Abha,store,bronze,28,37.7,0.194,25.35,845.01
102339,10 Nov 2024,2024-11-20,Jeddah,phone,gold,35,21.63,,16.2,539.99
100181,2024-11-04,2024-11-12,Tabuk,phone,bronze,36,101.76,,76.05,2535.06
102905,2024-07-11,2024-07-25,Jeddah,online,silver,34,19.27,0.176,16.44,547.85
104029,2024/05/09,2024-05-21,Jeddah,online,silver,39,67.12,0.236,59.38,1979.38
102156,9 Jun 2024,2024-06-22,Abha,store,silver,20,9.84,,5.14,171.17
102033,2024-05-24,2024-05-25,Jeddah,store,bronze,15,27.72,,7.1,236.71
104127,2025/05/19,2025-06-01,Jeddah,phone,bronze,16,29.25,,13.88,462.62
103651,2025/01/20,2025-01-24,Riyadh,store,bronze,28,23.25,0.099,17.68,589.23
